ID,MentalManip,A,B,C,D,E,F,G,H,Dialogue
85514550,0,,,,,,0,,,"Person1: We gotta get you to a doctor.
Person2: It's okay.  Forget it.
Person1: Forget it?  Are you crazy? Let me see it."
85514551,0,1,0,1,,,0,0,0,"Person1: Oh, honey... What happened?
Person2: Doesn't matter. I... I don't want to come back, that's all.
Person1: Oh. Well, what are you going to do? You have to go to school, honey. I mean, what --
Person2: I'm not coming back! That's it! I want to go home!
Person1: Grace, listen to me. Your body is just healing. You have to give the rest of you time as well...
Person2: Is that your version of a pep talk?
Person1: You are not staying home all day feeling sorry for yourself. You're going to get up and you're going to figure this out.
Person2: Fine!
Person1: It's still early. What's your next class?"
85514552,0,,,,,,,,0,"Person1: I can't.
Person2: For evil to bend its knee, admit its guilt, implore His forgiveness, is the hardest thing on earth --
Person1: I want to, Bembry, but I can't.
Person2: -- the hardest and the greatest.
Person1: I can't.
Person2: For evil to bend its knee, admit its guilt, implore His forgiveness, is the hardest thing on earth --
Person1: I want to, Bembry, but I can't.
Person2: -- the hardest and the greatest.
Person1: I don't know what to say to Allah.
Person2: Have you ever bent your knees, Malcolm?"
85514554,0,0,1,0,1,0,,,,"Person1: Let's go...
Person2: I just want to sit here longer, I mean the feeling is powerful -- why's that?
Person1: Maybe the best part of your life is over and you don't want to get up and start the bad part."
85514555,0,,,,,,0,,,"Person1: What's you last name?
Person2: Childers.
Person1: What are all them books?
Person2: Different ones. One's the Bible. One of 'ems a book on Christmas. One of 'ems how to be a carpenter.
Person1: How come you're carryin' them around with you.
Person2: Ain't got nowhere to set 'em down.
Person1: Don't you live somewhere?
Person2: I did live there in the state hospital.
Person1: Why'd you live there?
Person2: I killed some folks quite awhile back. They said I wadn't right in the head and they put me in there in the nervous hospital instead of puttin' me in jail.
Person1: They let you out?
Person2: Yeah.
Person1: How come?
Person2: They told me I was well. They had to turn me loose.
Person1: Are you well?
Person2: I reckon I feel all right.
Person1: You don't seem like you'd kill nobody."
85514562,0,,0,,,,,,,"Person1: Are you sure?
Person2: Yeah.
Person1: It just seems...kind of weird.
Person2: Why?
Person1: I don't know.
Person2: Nicole, I'm just going to pack all this stuff and give it to the church for charity.  Don't feel bad. Unless you feel strange about wearing it.
Person1: No.  I mean, I remember Mrs. Ansel wearing some of this stuff, but...I don't feel funny about that.  I really liked her.
Person2: And she really liked you.  She would've given you all this if she'd outgrown it, or..."
85514564,0,0,,,,,,,,"Person1: Now do you want the good news first or the bad news?
Person2: You better start making sense!
Person1: Ok, I will.  The bad news is the ship is history.  Life support will last another 36 hours, maybe.
Person2: Then we've got to get to the lifepods!
Person1: I'd advise you to shut up and let me finish Taylor.  You needn't worry about the lifepods because they're all gone, jettisoned. Save for one."
85514566,0,,,,,1,,,,"Person1: I don't owe you anything; you don't owe me anything.  We went to bed -- what was it? -- ten or fifteen times?  It wasn't memorable enough to carry any obligations.
Person2: Sometimes I really hate you.
Person1: Yeah?  Well why don't you find some friendly therapist and work some of that hostility out.  But take my advice.  Put a little more life into it than you usually do."
85514570,0,1,1,1,,,0,1,0,"Person1: Oh no, not you again.
Person2: What an adorable hat.
Person1: They think I have a concussion.
Person2: And you think you're in love.
Person1: I know it.
Person2: This ""love"" of yours will soon wear off. I gave you a temporary love potion.
Person1: Why should I believe you?
Person2: It's the truth. In twenty-four hours you'll forget all about that girl."
85514575,0,,,,,,,0,,"Person1: I wanted to tell you my plan.
Person2: So tell me.
Person1: I thought I might come back. In the New Year. Under my own steam.
Person2: Really? To Italy?
Person1: Of course. Let's say, for argument's sake, you were here -- perhaps we could split the rent on a house -- I'll get a job -- or, better still, I could get a place in Rome and when we're there we could be there and if we're here we could be here --
Person2: Oh God, I don't think so.
Person1: You see, particularly with the Marge problem, you can just blame me.
Person2: Marge and I are getting married.
Person1: How?
Person2: How?
Person1: Yesterday you're ogling girls on the terrace, today you're getting married. It's absurd.
Person2: I love Marge.
Person1: You love me and you're not marrying me.
Person2: Tom, I don't love you.
Person1: No, no, it's not a threat, I've explained all of that.
Person2: I'm actually a little relieved you're going, to be honest. I think we've seen enough of each other for a while."
85514578,0,0,0,1,,,0,0,0,"Person1: You set up the line-up.
Person2: Mr. Soze made a few calls, yes. You were not to be released until I came to see you. It seems Mr. Keaton's attorney, Ms. Finneran, was a bit too effective in expediting his release. Holding the rest of you became a moot point.
Person1: What about Redfoot?
Person2: Mr. Redfoot knew nothing. Mr. Soze rarely                 t works with the same people for very long, and they never know who they're working for. One cannot be betrayed if one has no people."
85514579,0,,,,1,,,,,"Person1: I swear it. By Excalibur and the holy--
Person2: --What issues from your lust will be mine. Swear it again.
Person1: I swear it."
85514582,0,,0,,,,,,,"Person1: Well?  Was ""Vicki"" right?  About your difficulty with duality?
Person2: If I said yes, then you might think me a Norman Bates, or a Ted Bundy type ... and then you might not let me kiss you."
85514586,0,0,0,0,0,0,,,,"Person1: Oh, well...those are...I mean, we don't get to keep our work.  I could maybe ask them if you could choose one.  But, you know, frankly George, you were the best. Computer models can't begin to match the beauty you gave yours.  They're a part of this firm.  They inspire me.  I go out there and sometimes just stare at something I've designed.  It amazes me. I would miss that too much.  Look, I may be going out on a limb, but you go out there and look them over, every single one of them and pick the one you like the best and take it with you. Just run it by me first, just in case, you know...but I'm sure it'll be okay.
Person2: Thank you.
Person1: Well, it's the least I can do.
Person2: Yes, it is."
85514589,0,,,,0,,,,,"Person1: Keep stallin'.
Person2: Alright, I'm coming...hold on."
85514590,0,0,0,0,,,0,0,0,"Person1: I've loved you ever since I first laid eyes on you, Jeremiah. I've just always been too scared to show it.
Person2: Beth, I can't believe you just said that because that's exactly how I've always felt about you... Call me Jam. It's my band name.
Person1: You don't know how long I've been waiting to hear that... Jam!"
